y_texts,y_pred_probs,y_pred
americanair kaps international airline experienced record profits last quarter cant staff call center,[ 3.6342704 -2.4389167 -1.1551542],0
usairways question downgrade include losing first class get money back,[ 5.6034036 -2.4888756 -3.077566 ],0
jetblue exciting times ahead 😁🎉,[-4.5015225  -0.42106807  5.3781676 ],2
jetblue awesome thanks thanks quick response guys rock,[-2.77841   -2.4748204  5.943106 ],2
usairways manage place family plain none sitting next one yr old,[ 4.794251  -2.6807158 -2.1969554],0
jetblue americanair ah ha misread end date thanks clarifying,[-2.4874065  2.996792  -0.6341846],1
usairways thanks need locate luggage,[ 0.38793123 -1.9586831   1.8118118 ],2
southwestair jackpot,[-0.8645147  4.228082  -3.4332762],1
usairways americanair seriously service issues right decide tweet unbelievable,[ 5.2907968 -2.8922544 -2.443434 ],0
southwestair anyone answering phones rebook cancelled flightled flights,[ 4.779259  -2.2808814 -2.511096 ],0
jetblue never airline refuse help sit parents tiny kids guy willing,[ 5.455049  -3.0456817 -2.4287863],0
americanair late flightr complete itinerary changes lost work time yeah got rebooked,[ 4.9709105 -3.192929  -1.6904143],0
jetblue thank jetblue credit nice save,[-3.2870004 -1.8213433  5.8064866],2
usairways thanks helping booking problems flightedflight yvonne anthony help us get tel aviv time,[-2.6068213 -2.3200183  5.5847163],2
usairways cant wait never fly always delayed always lose bag rudest people planet southwest best,[ 5.3900194 -3.1978939 -2.2938135],0
united extra care airline dont care trust non existent dont,[ 5.4363556 -2.8647525 -2.6556594],0
united nope walked amp orf terminal amp united agent found showed last minute board us many panicked people,[ 5.504107  -2.8560197 -2.5316036],0
united sent dm thanks incredibly happy fast response got via twitter via customer care thank,[-2.663477 -2.392911  5.828246],2
jetblue flight still waiting bags us checked hours ago people missing connections please help,[ 4.1803517  -0.25459644 -4.350412  ],0
united false,[ 4.648085  -1.5072443 -2.979275 ],0
united voucher expires next week get extension expires,[-2.3493621  5.412978  -3.2344   ],1
southwestair truly best something goes wrong matter big small issue fix thank,[-2.4686105 -1.189622   4.1799493],2
jetblue hour delay supposed land pm still boarding,[ 5.556086  -2.8792965 -2.5954154],0
united speaks basically worst designed web system ever,[ 5.525641  -3.0293372 -2.532136 ],0
united thanks effing holidays missing full day skiing due baggage teams incompetence flyyow,[ 5.403713  -3.0762913 -2.3772542],0
usairways seats phone iwas told getting error msg due paid st class upgrd told check amsound right,[ 5.3689733 -2.7351632 -2.6225216],0
united im snowy roads bwi called mileageplus amp told flight cancelled flighted hours ago rcvd notification pls help,[ 3.9628522 -0.2960279 -3.887063 ],0
usairways says call connecting get song dance weather weather bad days called days,[ 4.5123506 -2.1255538 -1.8737117],0
americanair keeping aa air crew chief cousin alex espinosa dfw,[-2.997774  -1.6386245  4.9135804],2
americanair flt tom recd notification im going airport,[-2.4293709  5.607346  -3.110189 ],1
“jetblue littlebirds beautiful shot thanks sharing using post ” welcome flight quickie,[-3.8286133 -1.359053   5.7626333],2
jetblue horrible experience check agent fort myers ill document send details boston,[ 5.6000066 -2.4707701 -3.0391395],0
usairways thank calling,[-3.2157645 -1.3161122  5.1814218],2
united really fucked day hilo lax hrmin delay software missed connection getting home hrs late flightr upgrade nothin,[ 5.555902  -3.0560992 -2.3821833],0
americanair issue requires bit tweet explain y’all email,[ 4.188701  -0.6036033 -3.684701 ],0
southwestair thats bull add fare cart locked made way paypal,[ 3.809007  -1.3548859 -2.5988073],0
usairways great operation guys running mechanical issues taping piece plane together lol,[ 1.2250012 -2.0740006  0.9528947],0
southwestair get weather delays hands nothing else offer massive inconvenience,[ 5.0508885 -2.809154  -2.2703521],0
southwestair favorite airlines ive never issues plus crew entertaining,[-0.7150312 -2.7497544  4.064442 ],2
usairways im glad spend hour try track basic information already available,[ 5.4745474 -2.7423658 -2.7121432],0
americanair thank much helps lot,[-3.1096168 -1.6555098  5.424418 ],2
jetblue weird picked cities test workednot one want works phone though ill use,[ 4.365254  -2.9559686 -1.4097263],0
americanair giving hard timejust looking basic customer service aa lost bag eta return please,[ 5.47265   -2.5259104 -2.9968822],0
united process purchasing ticket prices changed unbelievable,[ 5.364987  -2.8907838 -2.409166 ],0
usairways customer service line keeps telling call back late flightr disconnects talk someone flight,[ 5.543258  -2.8105958 -2.639191 ],0
southwestair tried dm wont let says following,[ 4.7830706 -1.4516083 -3.3960633],0
southwestair question atl companion pass offer know need revenue flight roundtrips whats revenue flight thnx,[ 0.54921216  2.838396   -3.6698666 ],1
southwestair also gave hr minutes hold maybe put people,[ 5.554169  -3.0144546 -2.4612756],0
usairways issuing travel advisory clt thursday significant snow storm way wednesday night,[-2.8698304  5.6593328 -2.917112 ],1
jetblue stranded passengers arent helped get another flight,[ 5.416815  -2.8543584 -2.5687563],0
united never frustrated conversations united cant speak spanish courier company bag,[ 5.525677  -3.0872104 -2.4383643],0
united heard vouchermiles credit cancelled flighting international flight yesterday didnt get email,[ 3.303387    0.66764015 -4.1881747 ],0
americanair want treat platinum two gold flyers,[-1.2928213  2.3731325 -1.1035882],1
americanair thats unacceptable,[ 5.489988  -2.8937032 -2.615497 ],0
jetblue expanding,[-1.9445469  4.3174973 -2.4672062],1
southwestair follow send info,[-1.6632124  5.2761674 -3.8225486],1
united thanks changed managed arrive hours delay exhausted,[ 1.7869562 -3.332587   1.6469496],0
united would get early enough green tag go otis would still sitting ord,[ 1.5992602  2.1040323 -3.9499772],1
americanair thanks bleh disconnected lets try,[ 1.1088301  -1.4412527   0.69711936],0
jetblue thanks,[-3.8900235   0.49031663  3.8758094 ],2
united flt delayed maintenance thats fixed cant board flight crew didnt stay boarding area,[ 4.9041076 -3.4792635 -1.5422169],0
southwestair rebook flight board bham,[-1.4591118  5.091723  -3.8435342],1
usairways acnewsguy give us air philly talk real person acarlhotmailcom,[ 3.120292    0.23843987 -3.2450616 ],0
usairways really,[ 5.077904  -2.3414972 -2.7047236],0
southwestair great flight cabo last week family,[-2.9827375 -2.485408   6.0651693],2
southwestair pv get approved ready go,[-3.3976161  4.9359527 -1.490382 ],1
united lies,[ 5.079269  -2.8218563 -2.3365722],0
southwestair thank know yall cant control weather appreciate yall working get flight rebooked last two days,[-1.271881  -2.2091951  3.975211 ],2
jetblue definitely lots announcements app great,[-3.4868255 -1.8630204  6.037581 ],2
southwestair hours hold customer service never us sw,[ 5.501785 -2.56917  -2.923072],0
americanair call center wont let wait hold would happily seriously supposed keep calling great,[ 4.975207 -3.479031 -1.586904],0
usairways way treat women want someone contact explain make acceptable,[ 5.39932   -2.0709894 -3.3239887],0
southwestair hold hr rebook cancelled flighted flight anyone working,[ 5.234243  -2.4199722 -2.7328188],0
united load us flying sardine knew pilots hours late flight beyond belief,[ 5.185782  -3.0691588 -2.0524368],0
southwestair frustrated customer serviceopen seats earlier flight change rip,[ 4.1145906 -1.1201093 -3.0710146],0
americanair usairways yes obviously stinks pm one option supposed fly yesterday,[ 5.329581  -3.1672447 -2.182379 ],0
jetblue id go portsmouth nh take care friends son takes daughter boston surgery,[-2.6454675  5.780274  -3.286038 ],1
southwestair happy enter sweepstakes,[-3.1143057  5.2826962 -2.1341412],1
usairways promise help nvr fly wu even pay fly w sum else,[ 5.5562615 -2.7851424 -2.7204297],0
united guessflight going cancelled flightled empty seats confirmed important,[ 5.177219  -3.0802958 -2.237847 ],0
usairways hey booked flight isabelle gramp boston lax said charged credit card transaction didnt go,[ 5.135337  -3.1412787 -1.9385859],0
united minute wait times help cancelled flightled flight help guy,[ 1.999669  -1.8873335 -0.3712363],0
americanair flight delayed hours human errors like food truck hitting plane lines frozen,[ 5.5682783 -2.8237913 -2.7704988],0
southwestair need get act together new morning plane malfunctioning yet ive delayed times,[ 5.139844  -2.992275  -2.1491742],0
united trying change flight online got error help via dm,[ 4.5408664  -0.93358064 -3.6662505 ],0
united online inchecking able netherlands ams,[ 0.79483926 -1.9570595   1.2891043 ],2
jetblue thank sent msg,[-4.724804   1.4360713  3.5606015],2
united worst customer service experience ever minutes get jetway plane ewr tonight flight disappointed,[ 5.648387  -2.6114202 -2.9583595],0
usairways tell get please,[ 2.7653642  0.7321306 -3.3492684],0
united exitrow window shades approx windows rjs lta frequent flyer,[-0.6795089  3.9679384 -3.75365  ],1
americanair uwont allow memake changes online force mesit thru excess phone wait timesampstill insist charging crazy fees thats service,[ 5.532102  -2.806962  -2.6755767],0
usairways please employee called times flight crew finish maintenance us depart,[ 4.1608124 -1.4884123 -2.5847085],0
americanair another airline thats accommodating customers unable simply change passengers notice simply,[ 5.2090635 -3.0013866 -2.1718252],0
southwestair link article says routes times routes likely like tuldal pm none,[ 2.810548  0.630703 -3.738615],0
americanair sucks teco teco,[ 5.0350823 -3.1189384 -1.8164988],0
usairways good luck trying reach human twice sat hold mins,[ 5.5402265 -2.9560387 -2.5202944],0
united delivered thank making sure arrived doorstep,[-2.8703535 -2.10371    5.663581 ],2
americanair friend needs help flt shes twiiter dm info,[-1.6974962  5.28785   -3.977002 ],1
americanair please explain costs almost price full roundtrip fair change departure time flight,[ 5.4716377 -2.504296  -2.8870862],0
southwestair yes hung called different number,[ 4.5772767 -1.0645176 -3.296724 ],0
southwestair thanks getting back nashville big thanks pilots baltimore flying snow landing ice,[-1.8249327 -2.5623326  5.0335097],2
usairways lies continue waited another hr get boarding passes flight supposedly created today cancelled flightled,[ 5.432012  -2.9507425 -2.4055624],0
americanair interested possibly changing flight another dayneed see fees number busy,[ 1.1527873  2.0654037 -3.5609634],1
jetblue even years earthquakehaiti still needs helps rebuilding,[ 4.541188  -1.2028946 -3.6434233],0
united hour delay misplaced bag poor communication worse unsympathetic confrontational gate agent cool,[ 5.464918  -3.2507045 -2.2503326],0
americanair pets allowed first class,[-2.351105   5.139772  -3.0339367],1
jetblue gives delayed hours mco jfk every time,[ 5.3551354 -3.195402  -2.1379821],0
usairways loosing lot business using barclays cant believe cant apply card live iowa,[ 5.454402  -2.363202  -3.1011565],0
united worst avoid like plague,[ 4.8985796 -2.0733535 -2.981391 ],0
united thanks got straightend last night,[-2.3335853 -2.4873936  5.5215764],2
americanair finally take thanks customer service g reps c ctl idea caused system failure,[ 1.8755159 -3.1189873  1.122047 ],0
americanair done thank much,[-3.4201238 -1.0369442  5.0985246],2
jetblue sending njb uvf today weekday weekend,[-3.0720155  5.543802  -2.437918 ],1
southwestair continue amazed amazing customer service thank swa,[-1.7884704 -2.3985715  4.71948  ],2
virginamerica atlantic ploughs lone furrow thenationaluae,[-2.4474328  5.3925176 -2.98845  ],1
usairways link doesnt work ive tried tracking bag several times still doesnt clarify,[ 5.2921042 -2.5986412 -2.8011644],0
usairways providing poor customer service responding complaints copy paste template flight unrelate flightd complaint,[ 5.55766   -2.8733842 -2.5886083],0
americanair kax premium hoping flight better food tv know work service tnx,[-3.003831   4.506147  -1.6655331],1
virginamerica ready lets say together noooo turbulence today 😘,[-3.8177006  2.7639875  0.93093  ],1
usairways happens isnt located,[ 4.940888  -2.6666577 -2.3821077],0
jetblue jeffhofmann denisejtaylor laurieameacham good one indeed jetblues finest day history,[-3.3875706 -2.1159217  6.195145 ],2
usairways fuk u us airways yo shitty chicken salad sandwich overpriced u fuking make wait hr layover fuk u,[ 5.437292  -3.1098633 -2.3497958],0
americanair motor usually starts engine broke cvgairport ground crew failed time per pilot,[ 5.4401307 -3.1955838 -2.2597222],0
southwestair customer service fll bwiand pit terribleno one knows bags arehis job clothes amp gear,[ 3.920636  -1.4336745 -2.4076004],0
southwestair got help nice lady phone georgia thank,[-3.7705767 -1.5600764  6.03316  ],2
americanair whos pick best picture dont want board airline know,[ 4.886645  -2.911808  -1.7831994],0
united tried one available bogota everyone rude houston stuck hours guys,[ 5.5322304 -2.9259446 -2.4923415],0
united would nice earlier today late flight hope,[ 0.36303422  2.5170808  -2.956117  ],1
united lovely part long day attendants ua ua beyond exceptional today,[-2.1392658 -2.3325617  5.1350045],2
united yes bags came hr arrived baggage claim awful experience ground bhm,[ 5.542055  -2.851074  -2.6921422],0
usairways customer service atrocious,[ 5.450985  -2.8964481 -2.6143937],0
americanair theres direct miami w seat u rebooked niece tuesday cant get phones,[ 5.154594  -1.8194047 -3.3265607],0
southwestair flight phl fll cancelled flighted flight available done sw,[ 1.6498622  1.4545399 -2.8313017],0
jetblue thanks much,[-3.7515671  -0.48693484  4.799086  ],2
united flew sdf atl tampa delta left early arrived early crew helpful wifi worked,[-1.7529513 -2.732615   5.0534196],2
usairways problem things worked airport thanks,[-3.22947   -1.6856782  5.620727 ],2
usairways wife flew italy recently bought tickets via finnair flights operated usair didnt get dividend miles credited,[ 1.7219083  1.9255526 -3.8708515],1
americanair ticket offices boston impossible book phone use voucher website headache please help,[ 4.623959  -1.250603  -3.6099176],0
united yes want complain coworker neither customer service point airside,[ 5.287685  -2.6773558 -2.6086204],0
usairways word delay reasons lgb twitter aflame flight tracking computer crash rumors true,[ 4.914148   -0.71367425 -4.399404  ],0
southwestair thanks get looks like bwisjd services stops aug case cant find one date flights,[-1.7378958   0.44992396  1.4296871 ],2
usairways americanair anyone answering phones today listening damn messages minutes,[ 5.566324  -2.7676837 -2.824158 ],0
southwestair delayed twice cancelled flightedsent complaint email yet response need explanation pls,[ 5.5021167 -2.4405704 -3.0840259],0
americanair called back put hold midnight literally want know im getting home im getting help,[ 5.6064553 -2.828084  -2.7368338],0
united claim number havent back iad baggage since phone call speak someone,[ 5.4956536 -2.7517169 -2.6751683],0
americanair followed tried usairways record locator number gave error code,[ 3.189336    0.08582716 -3.2351334 ],0
usairways yup minutes limit waiting hold thanks nothing,[ 5.5245113 -2.9595907 -2.6171749],0
united getting better id suggest get senior manager gate retrain gate people,[ 5.382565  -2.5742679 -2.7754035],0
americanair long day phillypm flt ord cancelled flighted notice message email nice platinums,[ 3.328839   -0.16757017 -3.2091036 ],0
united july zero excuses outofdate system causes problems like,[ 5.5803313 -3.0151346 -2.592439 ],0
virginamerica love music blasting gate waiting flight could get iced coffee,[-2.3213031 -2.3935177  5.4911237],2
jetblue catch name sure jason know,[-2.5617974  5.3175054 -3.1158578],1
southwestair hrs put tag bag sayin go greenville instead raleigh kidding,[ 5.550173  -2.7185113 -2.5694497],0
southwestair passengers automatically rebooked flights original cancelled flighted weather etc,[ 2.3701174  -1.4475993  -0.88216305],0
southwestair might worst airline ever,[ 5.2637477 -3.2285678 -2.0134459],0
united speak real person get resolved politely efficiently,[ 5.1057067 -2.624793  -2.213236 ],0
southwestair dont worry,[-3.2634552  3.1071465  0.5794585],1
united besides landing plane overall customer service experience poor late flight rude workers plus missing luggage,[ 5.5519896 -3.089553  -2.4710937],0
united flight last night long time recommend united anyone,[-2.3680496   0.04810662  2.6102102 ],2
united award longer showing available could possible become available,[ 2.3790758  1.0895565 -3.6670976],0
southwestair nice touch passbook integration,[-3.5925624 -1.2472289  5.462679 ],2
thank “united truutall certainly take look please follow dm confirmation number assistance jh”,[-3.9173663 -1.0801247  5.5167193],2
virginamerica need change reservation virgin credit card need modify phone waive change fee online,[-0.12177462  3.9583519  -4.1987886 ],1
usairways thanks nothing,[ 4.8990293 -3.0091956 -1.9952108],0
southwestair glassdoors best places work snagging overall,[-3.838141   -0.05597296  4.172619  ],2
united english ill dm though dont think youll make plane appear,[ 4.5550184 -0.6119624 -3.977227 ],0
united guess thats busiest route based trafficfuel costs regional jet decision still great travelers,[ 5.163834  -2.9348428 -2.1910136],0
americanair one event helsinkiairport lots info available,[-3.0742195  5.5677953 -2.5694025],1
united unavailable leg registered hours sold option offer min ticket travelocity,[ 5.419905  -2.473321  -2.8421257],0
southwestair great job achieving cities bwi,[-2.4630425 -2.1103904  5.1313567],2
usairways look delta made right call cho please evaluate,[ 1.6644673  -1.3536966  -0.26387036],0
united right think take stop get deiced wasnt done planes sitting night,[ 4.9063306 -2.659373  -2.32074  ],0
southwestair fortunemagazine congratulations,[-3.9420092 -0.6292208  5.2058434],2
southwestair ive hold hours reschedule cancelled flightled flight morning gives need help,[ 5.2247853 -2.4546993 -2.858284 ],0
jetblue something think dealing people wrong excuses figure amp expect unexpected,[ 5.541179  -2.6855211 -2.8254206],0
“jetblue fleets fleek,[-2.174803   5.519526  -3.4619892],1
usairways thanks much,[-3.2833464 -0.9290948  4.8253903],2
united yes three different checkers along walk plane overkill,[ 4.729465  -2.2200158 -2.437127 ],0
virginamerica hey first time flyer next week excited im hard time getting flights added elevate account help,[ 3.6167848 -1.3691992 -2.2948053],0
americanair characters arent enough describe inconsiderate employees,[ 5.600388  -2.4641373 -2.989926 ],0
americanair told us drive back drop could attempt fix really dont time,[ 5.055575  -2.9344192 -2.1556017],0
southwestair may want direct people furryfiesta tok,[-0.11823817  3.6127222  -3.7872834 ],1
usairways warm weather hubs means mexico us cant go anywhere else since lost bags hope attempt rectify,[ 5.164947  -2.8127015 -2.4224226],0
southwestair k thanks,[-3.3652356   0.97526044  2.4739826 ],2
jetblue wsj team offer access journal broadway world,[-3.8603566  5.279816  -1.487186 ],1
united hrs late flightr still cant figure random text updates,[ 5.5153728 -2.8783224 -2.5995553],0
united jt ord phl flight pm cdt delayed dm im kinda hoping stranded ord either,[ 5.283448  -2.3158312 -2.9359567],0
southwestair yes please,[-4.168181    3.2745016   0.98868334],1
united much help disappointed customer service,[ 5.502194 -2.691758 -2.94361 ],0
jetblue heard charge st bag tighter seats need loyal jb customer anymore,[ 5.229502  -2.5008693 -2.6548903],0
americanair worst airline cancelled flight flight dont let know wait hold mins told enter callback middle night,[ 5.5203996 -2.8092303 -2.568641 ],0
usairways nothing like back back delayed flights let hope one isnt hours like last time,[ 5.526771 -3.091913 -2.365381],0
jetblue hawaii get somewhere warm amp find good,[-1.2646204  3.8544443 -2.1470764],1
united flight cancelled flightled bdl stranded dullesairport waiting almost hrs customer service shout diligent agents,[ 2.717158   -2.950049    0.16616565],0
americanair got back eventually rollercoaster got airport amp got speak someone things got fixed quick,[-2.429018  -2.3215888  5.389034 ],2
jetblue loved service staff newark today good service goes along way appreciate preciation nj ✈️tampa 🔵🔵🔵,[-3.486915  -1.796156   5.9898324],2
southwestair experiencing worst customer service ever currently waited cs rep put hold actually hung,[ 5.650249  -2.6661465 -2.9624946],0
usairways nah flight next week inside chairman day window still havent released last open first seat,[ 5.2438064 -2.9488728 -2.1665692],0
united going rectify please direct complaints department,[ 4.980491  -1.716098  -3.2214289],0
usairways strikes againlost bags two,[ 5.1918144 -2.6609452 -2.496167 ],0
americanair please call us back rebook need get back columbus please help,[ 4.413839  -0.8981009 -3.7553852],0
americanair genuine give opinion occurred last night fly phl mia assistance airport,[-0.22961864  4.2826333  -4.353152  ],1
jetblue lost loyal customers use times year,[ 4.695907  -3.1095133 -1.5259368],0
southwestair revenue flights since beginning,[ 2.5545065  0.536445  -3.5299113],0
united impossible actually get passenger luggage final destination,[ 5.2169843 -2.623995  -2.4996488],0
united cross country flight sfogtbos wifi even soda quality inflight entertainment,[ 4.1858997 -2.8841217 -1.4219295],0
united policy changed must advise time purchase choose vary airport want full refund,[ 3.7363677   0.93863684 -5.0777698 ],0
americanair im frustrated usairways attitude toward members,[ 5.606666  -2.8359993 -2.768709 ],0
united freezing gate bridge,[ 5.3838787 -2.9304376 -2.3693278],0
jetblue close prechk pm sunday jfk,[-1.510315   5.2379556 -3.995815 ],1
southwestair traveling bwi nmaryland morrw chance flight cancelled flightled inclement weather chance get earlier flight,[-0.78300345  4.418464   -3.9740717 ],1
southwestair mcogtdca flight almost full people screwed msydca cancelled flightation united usairways didnt cancelled flight swamistake,[ 5.2361064 -2.888487  -2.2683632],0
united cant believe united cant find someone simply check seat back missing passport loved united debating choice,[ 4.948697  -2.5464325 -2.3572652],0
southwestair last night thanks following,[-3.4690573 -1.6366367  5.7292037],2
jetblue luggage flight waiting hour bags,[ 5.508845  -2.627312  -2.8590438],0
southwestair thanks taking care today michele rocked customer service gate hou,[-3.1041377 -2.3462143  6.208793 ],2
virginamerica really looking forward flight let know rescheduled,[ 0.77518517  0.13737558 -0.72366   ],0
americanair calling tell flight rescheduled hours late flightr supposed seems like bad solution,[ 5.1471834 -3.0595677 -2.1260998],0
jetblue martysg spoke corp customer support already shame probably reasonable cheaper resolution regards,[ 3.358143  -2.3864906 -0.894027 ],0
united sister amp bil stuck detroit desperately need florida flying w usairways anything,[ 4.1498384 -1.6364523 -2.6879919],0
usairways hold hours minutes whats going,[ 5.615434  -2.8122997 -2.7864277],0
usairways hold hourconnected wrong department automated systemtransferred another min amp counting,[ 5.5827727 -2.7594292 -2.7238288],0
southwestair accepting reservations past august,[-2.0579078  5.542193  -3.767782 ],1
jetblue cant make changes website still charged dollars using phone,[ 5.6202016 -2.8531346 -2.6841807],0
southwestair long take points rr shopping post account got email saying ive earned points dont see em,[ 2.302166   1.1341404 -3.7417424],0
united need chat actual human asap,[ 5.372331  -2.7168229 -2.6976726],0
usairways wont hours holding give couldnt borrow phone longer hours,[ 5.503626  -2.8660996 -2.646712 ],0
united take note great example jetblue actually making good extremely inconvenient situation,[ 3.203246   -2.9851286  -0.24461257],0
united correct date,[ 0.6826088  3.9577997 -5.151631 ],1
jetblue flight delayed connecting boston possible switch flight make connection,[ 2.2298925  2.0673866 -4.5342484],0
americanair bags arent even loaded plane,[ 5.565245  -2.8568382 -2.7747896],0
united apollochplayers want go home tonight cancelled flight last leg reserv wout permission,[ 1.48591    2.2674482 -3.8891914],1
virginamerica way fly,[-3.3727489   0.56742024  3.2966254 ],2
jetblue yeah im looking specific dates keep checking daily fare drop,[ 4.159084   -0.37940258 -3.7364652 ],0
americanair always enjoy time plane dfw,[-2.3863394 -2.6755505  5.829871 ],2
jetblue airport code test go slc bos mco,[-2.2241023  5.415876  -3.3279185],1
usairways disappointed toll free number terrible customer service flight cancelled flightled would like get home,[ 5.4785676 -2.9952738 -2.4739735],0
united worst service ever denied access flight moved flight times hard schedule gate delta next time,[ 5.5343432 -2.9078748 -2.459966 ],0
united asap mean two hours worth delay return terminal count luggage third time,[ 5.4548163 -2.4216325 -3.0959918],0
united 👏 wont 👏 👏 👏 👏 wedding 👏 irreplaceable milestone theres reflight booking problems repaid,[ 1.9115033  -1.490014   -0.41535157],0
usairways attempting ckin flight day site unable retrieve details called twice disconnected,[ 5.276603  -2.7128646 -2.4250312],0
united silly im flying delta today united club staff attendants surly unhelpful always seem bothered pesky folk,[ 5.405516  -3.1520617 -2.288934 ],0
united never flight delayed hour due unbalanced load delays flylaxairport great job idiots,[ 5.1857157 -3.2799711 -1.9030534],0
usairways us airlines la rdu holding onto baggages hour already everyone still waiting,[ 5.60654   -2.4257882 -2.9698484],0
united says weather delay morning weather didnt affect airline,[ 4.3095927 -2.273947  -2.2279332],0
usairways ah given one shuttle voucher ever get back airport youll getting bill,[ 5.299476  -3.010204  -2.2112944],0
united sent thanks,[-3.391832    0.46388894  3.2219648 ],2
united happy found phone easily worst system ever heard,[ 5.420907  -3.1041439 -2.324768 ],0
united cheertymedad gee thats like almost caring ppl think im int trusted adult w daughter,[ 1.4236705 -2.5884845  1.1629318],0
usairways thanks friendly us airways staff helped get booked various flights get home today almost,[-2.605719  -2.4071178  5.6373153],2
united got rebooked aa one question though automatically refund check baggage fees flight cancelled flightled,[ 1.9869264  1.5694647 -3.7549517],0
united would person take hours hours wait time tell lie,[ 5.3672733 -3.0950806 -2.2375948],0
southwestair left ipad seat pocket filed lost item report received exactly week late flightr record,[ 5.439912  -2.8580673 -2.5007086],0
usairways dating back nov sent back forth edreamsen disgrace,[ 5.371322  -2.0124383 -3.361821 ],0
americanair yes dulles need delivered embassy suites herndon va im still chicago fiasco lax,[ 5.1455503 -2.301126  -2.78734  ],0
americanair improve envoys performance th trip ord ive delayed hours envoy could drive faster,[ 5.295139  -2.8585556 -2.350233 ],0
united please help trace luggage put without name tag february albuquerque airport,[ 2.903967   1.2935603 -4.8220463],0
southwestair never mor e disappointed company charging use wifi works apps parhetic,[ 3.9926503 -2.4147687 -1.6730686],0
jetblue appreciate quick response one go outside check temp leave buf,[-2.433565  -1.4306546  4.367357 ],2
virginamerica im pulling hair trying book flight u site doesnt work iphone ipaddont computer,[ 5.438523  -2.8603876 -2.5526242],0
virginamerica would love virgin like gopro,[-2.1874402  5.4750648 -3.3134358],1
usairways worst experience ever guys…see blog tomorrow experience maybe help make better,[ 5.3771834 -2.5395641 -2.858289 ],0
americanair would also like say kind move adding points,[ 2.8362086 -1.5935327 -1.3670678],0
jetblue thank help quick response,[-3.2907717 -1.9041599  5.893893 ],2
americanair flight got cancelled flightled grk dfw lex tomorrow need rebooked,[ 0.4753499  3.9808757 -4.918575 ],1
usairways pleading car service stay hrs past pick left family ok water crackers,[ 5.534545  -3.1456177 -2.3812969],0
jetblue dc summer help local youth get ready return school math refresher courses,[-3.168835   5.5775447 -2.3931816],1
usairways bad weather shouldnt mean bad service,[ 4.0449553 -1.7856512 -2.0006926],0
southwestair winter weather denver extended tomorrow chance even late flightr day would super helpful,[-0.38340056  2.6962707  -2.55351   ],1
southwestair wife needs help stranded chicago cant get monday wont find bag volume high,[ 5.2325635 -2.1200879 -3.2626119],0
usairways i’d suggest proper information dissemination staff timely amp relevant schedule prevent future,[ 4.2159896  -0.79005605 -3.6633027 ],0
jetblue vincenzolandino cbarrows take places united simply cantlike nonstop st lucia,[ 1.5140014 -1.5011303  0.2543358],0
jetblue happy accommodate peanuttreenut allergies flight st online cover air provider,[-2.276924   3.5746903 -0.9449854],1
united begin newarklondon heathrow route may panynj boeingairplanes froschtravel,[-1.057702   4.174307  -3.3456118],1
usairways team terrifyingly rude young mother amp baby trying check flight phx jwa help,[ 5.123755  -1.5134802 -3.756405 ],0
usairways tell reservations rebook,[ 1.6741108  3.2262657 -5.229464 ],1
jetblue still sitting plane newburg getting way treat customers,[ 5.2022634 -2.9972997 -2.0206563],0
usairways told offload captain hours terrible experience,[ 5.5705557 -2.993646  -2.5737822],0
jetblue something going alerts flights delayed several times parents im receiving alerts,[ 5.3109074 -1.9137318 -3.520733 ],0
americanair submitted case aa customer relations two weeks ago word ever since whats point even cr,[ 5.5852017 -2.81191   -2.6703713],0
americanair best agent could put flight arriving tomorrow afternoon six hour layover,[ 2.2978604 -2.5445101  0.6712675],0
americanair anticipate decisions cancelled flightlations dfw tomorrow morning need rearrange hotel reservations etc asap,[-1.5086702  5.4734316 -4.269381 ],1
united phone customer service team bad think time consider switching airlines,[ 5.1890545 -2.8444111 -2.194008 ],0
americanair finally got call aa automated voice hung called back amp says itll hours,[ 5.508888  -2.9642181 -2.450847 ],0
jetblue lol estimated departure time plane hasnt even started boarding yet cant even get delays right,[ 5.2379785 -3.1506011 -2.0770502],0
united cant find late flight evening flights airports would overnight flight,[ 3.174816    0.47728956 -3.924939  ],0
southwestair thanks cancelled flighting flight bos stranded den til wed night us never fly,[ 2.1192515 -1.2109672 -0.4545035],0
usairways check st louis rude even tsa nicer,[ 5.137264  -2.8008306 -2.273119 ],0
usairways never worse experience life,[ 5.237938  -2.6294477 -2.5404837],0
united worst flight experience ive ever thank ending vacation bad note,[ 5.4233913 -3.0480254 -2.1576307],0
virginamerica love dancing little richard cool beans,[-3.669051  -1.7088484  6.0783415],2
usairways ill never fly due emotional amp financial stress caused one staff members errors,[ 5.5717206 -2.7757733 -2.812749 ],0
southwestair placed hold total two hours today flight cancelled flightled online option available,[ 5.4034963 -2.3830276 -2.9298713],0
united still missing luggage promised someone would call call far flight shanghai dc connecting flight ord,[ 5.3819027 -2.8286958 -2.4637969],0
virginamerica great week 🌞✈,[-4.7165437  -0.15505199  5.1383967 ],2
united plane sitting hanger day numerous mechanical problems doesnt anyone actually maintenance,[ 5.4427896 -3.0344763 -2.4494736],0
southwestair insane traffic la trying call schedule flight phone minutes nothing,[ 5.470876  -2.6566422 -2.6917536],0
southwestair hiring emerging leader development program last day apply today apply,[-1.9224378  5.409825  -3.3049722],1
